STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/1/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/2/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/3/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/4/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/5/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/6/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/7/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/8/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/9/2022,0,,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/10/2022,0.15,,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/11/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/12/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/13/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/14/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/15/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/16/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/18/2022,,,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/19/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/21/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/22/2022,0,0,,
US1MAMD0025,"AYER 0.1 SW, MA US",42.56114,-71.58689,82.3,8/23/2022,0.16,,,
